RamanShift (cm-1)	00:00:56	00:01:25	00:01:55	00:02:26
3202.0000	870.66255609	503.90103855	802.94009728	602.88516217
3201.0000	877.64305360	324.32066156	808.58886239	437.01659798
3200.0000	1009.08298657	392.26068048	820.55045151	462.01913653
3199.0000	1154.89435159	702.41627040	876.07704876	774.90565696
3198.0000	1134.77964936	934.98757784	932.38512290	1134.54936895
3197.0000	911.79080155	895.10995429	922.09797257	1159.11178871
3196.0000	630.80431122	774.17790522	819.70274655	834.30080711
3195.0000	450.47533152	844.53018344	659.68929659	503.35749043
3194.0000	440.03929736	1048.75759940	573.62882545	443.54312803
3193.0000	592.93950983	1103.25208411	673.04344045	699.33305475
3192.0000	807.80915503	970.66867827	848.04117933	1088.75494427
3191.0000	930.33712746	920.69296699	901.02127778	1301.67697086
3190.0000	940.30179966	1074.49207524	853.05599385	1247.24853246
3189.0000	973.52686483	1230.16681338	843.21686037	1111.29734492
3188.0000	1064.49067237	1205.17906384	837.32324295	956.58822798
3187.0000	1085.47774877	1061.53447208	758.51936201	725.49730054
3186.0000	1001.66310850	934.82817889	726.63440332	576.45047002
3185.0000	919.66729960	857.71293516	857.54951037	687.39483369
3184.0000	897.24394299	826.69881981	1045.75199330	933.07482073
3183.0000	920.26808044	857.48064010	1138.16894768	1105.41267045
3182.0000	975.46630516	890.22334155	1100.80672859	1164.71441440
3181.0000	1054.75372143	847.86766416	1010.29014462	1181.67510653
3180.0000	1163.35412047	805.35235312	1026.54789412	1247.42848687
3179.0000	1285.93811504	866.83121221	1199.48299257	1367.50252812
3178.0000	1364.85649509	981.35724968	1318.66360891	1428.80617152
3177.0000	1381.67909566	1062.71608822	1226.47884470	1365.17856680
3176.0000	1373.58977906	1105.53293335	1089.33152620	1236.52740490
3175.0000	1379.57905468	1145.00048719	1098.04033963	1161.66965565
3174.0000	1422.49468090	1237.09883983	1195.03879731	1239.97242447
3173.0000	1473.48603896	1371.29910827	1276.43006152	1403.11300448
3172.0000	1499.12969820	1439.36354475	1365.80353759	1464.24905088
3171.0000	1534.68027361	1424.64262946	1482.22985062	1414.24326052
3170.0000	1561.43528549	1411.38074989	1555.85686495	1364.05322497
3169.0000	1512.24219734	1398.48544543	1550.42612550	1288.79328889
3168.0000	1485.40501574	1360.48226106	1528.33875746	1175.69022651
3167.0000	1583.27820749	1320.98661148	1521.32010874	1134.71252377
3166.0000	1641.64430994	1255.14543668	1484.14457024	1179.53822040
3165.0000	1519.64367449	1201.62665087	1461.41017231	1243.82091868
3164.0000	1374.89067110	1314.89846018	1579.26098137	1322.69705944
3163.0000	1364.38377387	1546.44149707	1792.79118753	1362.40676992
3162.0000	1410.41146211	1658.10458331	1912.56213527	1297.87805444
3161.0000	1396.92810338	1647.07497757	1879.42728890	1226.89843484
3160.0000	1343.57249616	1669.86081608	1746.82089867	1242.65106871
3159.0000	1335.86319826	1668.73550818	1528.51140663	1270.34451944
